BQI	DEPH	Latitude	Longitude	MNDEP	month	MS_CD	MXDEP	POSITION	SAMPLE_ID	Date	Institution	Station	Time	WB_ID	station_depth	WB_name	WATER_DISTRICT_NAME	WATER_TYPE_AREA	type_code	year	new_index	index_column
4.602	88.5	63.41680	20.11230	88.5	6	WA82865410	88.5	63.42_20.11	c14ac0541ed4c5cfde5d702d77caf3fb	2014-06-03	Umeå Universitet	N 24		SE633550-200700	88.5	S n Kvarkens kustvatten	Bottenvikens vattendistrikt	21 - Norra Kvarkens yttre kustvatten	21	2014	110246_SE633550-200700	110246
4.87883	88.5	63.41680	20.11230	88.5	6	WA82865410	88.5	63.42_20.11	71614bf559c5fe7b5a5bd0456de84daf	2014-06-03	Umeå Universitet	N 24		SE633550-200700	88.5	S n Kvarkens kustvatten	Bottenvikens vattendistrikt	21 - Norra Kvarkens yttre kustvatten	21	2014	110247_SE633550-200700	110247
8.39881	18.0	63.45118	19.76563	18.0	5	WA82865410	18.0	63.45_19.77	56b8353237c3d08cac33dcf9ed8ee432	2014-05-16	Umeå Universitet	N 5		SE633550-200700	18.0	S n Kvarkens kustvatten	Bottenvikens vattendistrikt	21 - Norra Kvarkens yttre kustvatten	21	2014	110507_SE633550-200700	110507
4.55457	25.5	63.49853	19.92553	25.5	5	WA82865410	25.5	63.50_19.93	390057639da07baf7a5f11caa4e148bf	2014-05-14	Umeå Universitet	N 12		SE633550-200700	25.5	S n Kvarkens kustvatten	Bottenvikens vattendistrikt	21 - Norra Kvarkens yttre kustvatten	21	2014	110534_SE633550-200700	110534
4.45339	49.0	63.41345	19.85033	49.0	5	WA82865410	49.0	63.41_19.85	129bfee5731488c1769dbe8a48a7c287	2014-05-12	Umeå Universitet	N 16		SE633550-200700	49.0	S n Kvarkens kustvatten	Bottenvikens vattendistrikt	21 - Norra Kvarkens yttre kustvatten	21	2014	110567_SE633550-200700	110567
3.71492	49.0	63.41345	19.85033	49.0	5	WA82865410	49.0	63.41_19.85	362756d708efb8ebd4ea50e0dfc68e0e	2014-05-12	Umeå Universitet	N 16		SE633550-200700	49.0	S n Kvarkens kustvatten	Bottenvikens vattendistrikt	21 - Norra Kvarkens yttre kustvatten	21	2014	110568_SE633550-200700	110568
3.59934	49.0	63.41345	19.85033	49.0	5	WA82865410	49.0	63.41_19.85	93ba40ee90753acc55a0812e6c542437	2014-05-12	Umeå Universitet	N 16		SE633550-200700	49.0	S n Kvarkens kustvatten	Bottenvikens vattendistrikt	21 - Norra Kvarkens yttre kustvatten	21	2014	110569_SE633550-200700	110569
8.13441	52.0	63.39983	19.97712	52.0	5	WA82865410	52.0	63.40_19.98	f752ddace28bdbde8db149f144ada585	2014-05-12	Umeå Universitet	N 17		SE633550-200700	52.0	S n Kvarkens kustvatten	Bottenvikens vattendistrikt	21 - Norra Kvarkens yttre kustvatten	21	2014	110570_SE633550-200700	110570
5.87098	52.0	63.39983	19.97712	52.0	5	WA82865410	52.0	63.40_19.98	b94169c0002e07f46ba2f35e20b100c6	2014-05-12	Umeå Universitet	N 17		SE633550-200700	52.0	S n Kvarkens kustvatten	Bottenvikens vattendistrikt	21 - Norra Kvarkens yttre kustvatten	21	2014	110571_SE633550-200700	110571
6.81986	52.0	63.39983	19.97712	52.0	5	WA82865410	52.0	63.40_19.98	45f8dff6a5dd8a1f207df068a6f3a767	2014-05-12	Umeå Universitet	N 17		SE633550-200700	52.0	S n Kvarkens kustvatten	Bottenvikens vattendistrikt	21 - Norra Kvarkens yttre kustvatten	21	2014	110572_SE633550-200700	110572
